"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
9,"62. el Congr�s i els Indians",7.613,6.908,6.609,39,22,50,13,5,43,6,26,11,2,2,32,13,12,2,21,50,36,4,0,10,529,120,66,78,55,30,16,21,32,6,18,47,11,2,13,7,5,2,125,16,94,0,4,5,2,0,4,1,0,0,,
9,"63. Navas",11.661,10.443,10.059,81,20,55,14,11,38,12,29,22,4,1,18,11,36,3,29,56,37,2,4,13,884,138,126,154,94,68,40,37,46,12,26,51,30,5,14,20,8,15,275,12,217,7,5,0,8,0,26,0,3,0,,
10,"64. el Camp de l'Arpa del Clot",20.236,18.064,17.155,216,101,81,65,61,87,33,50,21,23,18,20,28,30,5,70,159,134,6,3,16,1.582,250,166,267,210,112,84,87,53,47,44,46,85,18,43,34,11,25,428,39,282,31,19,2,14,2,39,1,2,0,,
10,"65. el Clot",14.041,12.747,12.135,131,52,86,28,34,45,25,42,15,7,7,41,20,14,4,61,145,117,10,1,17,882,142,103,138,87,49,46,68,34,28,29,52,32,13,21,31,2,7,263,26,201,5,6,3,5,1,16,2,2,0,,
10,"66. el Parc i la Llacuna del Poblenou",7.551,6.769,6.099,168,79,41,48,42,51,23,20,21,25,21,2,25,1,10,93,79,69,3,0,7,472,36,31,34,55,24,41,41,19,28,27,39,17,30,15,16,2,17,226,21,146,13,3,2,9,0,32,1,4,0,,
10,"67. la Vila Ol�mpica del Poblenou",4.778,4.500,3.981,148,71,18,55,36,26,25,4,12,23,9,1,13,3,8,67,17,14,0,1,2,212,19,7,16,26,5,34,25,5,12,4,1,14,22,5,5,1,11,49,2,22,3,8,0,4,0,10,0,0,0,,
10,"68. el Poblenou",16.998,15.572,14.231,359,178,71,137,94,77,46,35,38,37,29,9,27,19,19,166,148,104,17,5,22,876,101,90,60,84,39,83,82,43,48,50,40,43,46,25,16,2,24,390,110,199,5,15,1,8,0,52,10,2,0,,
10,"69. Diagonal Mar i el Front Mar�tim del Poblenou",6.699,6.232,5.586,142,76,25,46,38,109,23,18,23,24,12,6,18,5,14,67,50,33,9,0,8,297,16,10,20,47,9,34,44,4,22,6,7,33,20,4,10,2,9,119,16,60,3,8,0,6,0,26,1,0,0,,
10,"70. el Bes�s i el Maresme",11.281,9.434,8.947,57,13,104,11,10,68,27,46,10,11,7,29,43,6,2,43,240,186,12,20,22,819,140,160,93,75,70,31,38,79,9,20,26,26,10,11,5,20,6,785,543,136,12,52,1,0,23,18,2,1,0,,
10,"71. Proven�als del Poblenou",10.399,9.561,9.094,77,49,51,27,12,56,19,25,26,10,13,13,21,15,4,49,130,112,7,1,10,533,69,50,45,65,44,46,33,44,18,15,23,31,6,17,11,10,6,175,35,101,2,13,0,1,4,19,0,0,0,,
10,"72. Sant Mart� de Proven�als",13.794,12.674,12.282,71,25,57,16,10,42,22,47,8,5,5,15,18,13,5,33,49,33,4,0,12,847,119,116,115,90,93,45,40,59,22,36,24,23,9,20,16,5,15,224,31,171,8,2,1,1,0,10,0,0,0,,
10,"73. la Verneda i la Pau",15.188,13.925,13.503,60,19,93,6,8,58,8,38,11,8,2,28,19,18,6,40,101,64,11,9,17,840,107,150,87,87,74,54,60,41,9,47,48,20,1,22,7,7,19,322,62,234,11,6,1,0,0,8,0,0,0,,
